user,id,tweet,replies,retweets,likes,quotes,date,cleaned_tweet,predicted_stance,lat,lng
VFA_Consulting,712060255098699776,"French #wine is getting better, because #climatechange is making #France more like #California: https://t.co/X7vIsE0UXH (ie CA is the best)",0.0,0.0,0,0,2016-03-21T23:36:08+00:00,french  is getting better because  is making  more like   ie ca is the best,Pro,,
mainportlawyer,585674305326948352,@OsloPrinciples Very happy to hear about this great initiative! Go for it Jaap Spier! #climatechange #ClimateAction,0.0,0.0,0,0,2015-04-08T05:23:30+00:00,very happy to hear about this great initiative go for it jaap spier,Pro,,
idea_rabbit,939420677349687297,Heart-wrenching video of emaciated #polar bear shows stark reality of #climate #change https://t.co/fCv1DdHSxo #globalwarming,0.0,0.0,1,0,2017-12-09T09:05:17+00:00,heartwrenching video of emaciated  bear shows stark reality of,Pro,,
YaleSustain,1120749704957112320,"This Saturday, April 27, Yale Environmental Humanities will host ""The Aerial Image Conference."" Explore the intersection of climate change, historical context, technology, and art: https://t.co/rGgint541O #conference #climatechange",0.0,5.0,6,0,2019-04-23T18:02:06+00:00,this saturday april 27 yale environmental humanities will host the aerial image conference explore the intersection of climate change historical context technology and art,Pro,41.308150000000005,-72.92815999999998
YaleSustain,1118839252920434689,"How are humans impacted by climate change? Learn more about disease, migration, and the unique challenges of Arctic communities from Alyssa Parpia, Kate Burrows, and Sappho Gilbert from 12-1pm in Sage Hall Rm 24 @YaleFES #climatechange",0.0,0.0,2,0,2019-04-18T11:30:39+00:00,how are humans impacted by climate change learn more about disease migration and the unique challenges of arctic communities from alyssa parpia kate burrows and sappho gilbert from 121pm in sage hall rm 24,Pro,41.308150000000005,-72.92815999999998
YaleSustain,1040586646121574400,"Yale's Agrarian Studies Program hosts ""The End in Sight: Life Near Shrinking Glaciers"" today from 11am-1pm. https://t.co/HR6cBHNoDd #climatechange",0.0,0.0,0,0,2018-09-14T13:02:44+00:00,yales agrarian studies program hosts the end in sight life near shrinking glaciers today from 11am1pm,Pro,41.308150000000005,-72.92815999999998
YaleSustain,1039525301565448193,"The Global Climate Action Summit kicks off tomorrow in San Francisco where @Yale professor Tony Leiserowitz, Director of the Yale Program on Climate Change Communications and Casey Pickett, Director of Yale Carbon Charge, will be in attendance. #climatechange",1.0,1.0,3,0,2018-09-11T14:45:19+00:00,the global climate action summit kicks off tomorrow in san francisco where  professor tony leiserowitz director of the yale program on climate change communications and casey pickett director of yale carbon charge will be in attendance,Pro,41.29843435,-72.93102342707913
drensove,934788951096905728,"https://t.co/cRCdZdQoEG
How #bitcoin influencing the #climatechange",0.0,0.0,0,0,2017-11-26T14:20:28+00:00,how  influencing the,Pro,52.4009309,13.0591397
jitterflyart,1069769461324894208,Earth Sustainability. #Environmental #Activist #Art. Illustration of #Sustainable #Earth with words #Recycle #Reduce #Reuse #Renewalenergy &amp; #sustainability @jitterflyart Together we can combat #climatechange Visit art https://t.co/TcACbTZumC … https://t.co/09jkoiAWQH,0.0,1.0,2,0,2018-12-04T01:44:49+00:00,earth sustainability    illustration of   with words     amp   together we can combat  visit art,Pro,,
RobJJAdams,891606686938484736,And still... no real action.... #globalwarming https://t.co/GjFNHjuxhH,0.0,0.0,0,0,2017-07-30T10:29:34+00:00,and still no real action,Pro,51.4392648,5.478632999999999
LV_HTX,679762218548723712,"Sensible argument from @Schwarzenegger. Set aside debate re #climatechange and start moving forward. 
 https://t.co/Ckde4mNlY1 via @knowable",0.0,0.0,0,0,2015-12-23T20:35:16+00:00,"sensible argument from  set aside debate re  and start moving forward 
  via",Pro,29.7589382,-95.3676974
pbamgboshe,679385891102662656,I was hoping for a white Christmas instead it looks more like sand #globalwarming 70 plus degrees on Christmas Eve 😞,0.0,0.0,0,0,2015-12-22T19:39:53+00:00,i was hoping for a white christmas instead it looks more like sand  70 plus degrees on christmas eve,Pro,,
izabizabelle,573192383149551616,#climatechange is real folks... thanks for this @MindBodyGreen http://t.co/UdXrUzrDP3,0.0,0.0,0,0,2015-03-04T18:44:48+00:00,is real folks thanks for this,Pro,40.714270000000006,-74.00596999999998
GovPeterShumlin,927909070031466496,We must address #climatechange now! Every country agrees it’s not a bad deal @realDonaldTrump you bring the US shame https://t.co/BrmQq7dNxs,5.0,2.0,4,0,2017-11-07T14:42:16+00:00,we must address  now every country agrees its not a bad deal  you bring the us shame,Pro,42.9748,-72.52176
GovPeterShumlin,923639934786908160,We are seeing #climatechange in effect. The future needs renewable infrastructure and transparency. #PuertoRico  @CarmenYulinCruz,2.0,0.0,4,0,2017-10-26T19:58:15+00:00,we are seeing  in effect the future needs renewable infrastructure and transparency,Pro,42.9748,-72.52176
GovPeterShumlin,771410240164204544,Happy 2 speak w/ Minister @Huertell at #CCCA2016Jalisco ystrdy re #climatechange collaboration between #Quebec &amp; #VT https://t.co/6wPnsOf27o,0.0,0.0,1,1,2016-09-01T18:11:48+00:00,happy 2 speak w minister  at  ystrdy re  collaboration between  amp,Pro,42.9749197,-72.52215749999998
